Symbol,Company Name,Sector,PaymentDate,AnnualDividendsPerShare,DividendYield,PayoutRatio
AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",Real Estate,06/15/2017,N/A,N/A,N/A
AACI,Armada Acquisition Corp. I - Common Stock,Finance,N/A,N/A,N/A,N/A
AACI,Armada Acquisition Corp. I - Common Stock,Finance,,,,
AACIU,Armada Acquisition Corp. I - Unit,Finance,N/A,N/A,N/A,N/A
AACIU,Armada Acquisition Corp. I - Unit,Finance,,,,
AACIW,Armada Acquisition Corp. I - Warrant,Finance,N/A,N/A,N/A,N/A
AACIW,Armada Acquisition Corp. I - Warrant,Finance,,,,
AADI,"Aadi Bioscience, Inc. - Common Stock",Health Care,N/A,N/A,N/A,N/A
AADI,"Aadi Bioscience, Inc. - Common Stock",Health Care,,,,
AAGR,African Agriculture Holdings Inc. - Common Stock,Finance,N/A,N/A,N/A,N/A
AAGR,African Agriculture Holdings Inc. - Common Stock,Finance,,,,
AAGRW,African Agriculture Holdings Inc. - Warrant,Finance,N/A,N/A,N/A,N/A
AAGRW,African Agriculture Holdings Inc. - Warrant,Finance,,,,
AAL,"American Airlines Group, Inc. - Common Stock",Consumer Discretionary,N/A,N/A,N/A,6.49
AAME,Atlantic American Corporation - Common Stock,Finance,09/12/2023,0.02,1%,15.46
AAOI,"Applied Optoelectronics, Inc. - Common Stock",Technology,N/A,N/A,N/A,N/A
AAOI,"Applied Optoelectronics, Inc. - Common Stock",Technology,,,,
AAON,"AAON, Inc. - Common Stock",Industrials,12/18/2023,0.32,0.44%,35.37
AAPL,Apple Inc. - Common Stock,Technology,11/16/2023,0.96,0.49%,31.81
ABAT,American Battery Technology Company - Common Stock,Basic Materials,N/A,N/A,N/A,N/A
ABAT,American Battery Technology Company - Common Stock,Basic Materials,,,,
ABCB,Ameris Bancorp - Common Stock,Finance,10/09/2023,0.6,1.16%,12.56
ABCL,AbCellera Biologics Inc. - Common Shares,Health Care,N/A,N/A,N/A,N/A
ABCL,AbCellera Biologics Inc. - Common Shares,Health Care,,,,
ABEO,Abeona Therapeutics Inc. - Common Stock,Health Care,N/A,N/A,N/A,N/A
ABEO,Abeona Therapeutics Inc. - Common Stock,Health Care,,,,
ABIO,"ARCA biopharma, Inc. - Common Stock",Health Care,N/A,N/A,N/A,N/A
ABIO,"ARCA biopharma, Inc. - Common Stock",Health Care,,,,
ABL,"Abacus Life, Inc. - Class A Common Stock",Finance,N/A,N/A,N/A,N/A
ABL,"Abacus Life, Inc. - Class A Common Stock",Finance,,,,
ABLLW,"Abacus Life, Inc. - Warrant",Finance,N/A,N/A,N/A,N/A
ABLLW,"Abacus Life, Inc. - Warrant",Finance,,,,
ABNB,"Airbnb, Inc. - Class A Common Stock",Consumer Discretionary,N/A,N/A,N/A,N/A
ABNB,"Airbnb, Inc. - Class A Common Stock",Consumer Discretionary,,,,
ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",Health Care,N/A,N/A,N/A,N/A
ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",Health Care,,,,
ABSI,Absci Corporation - Common Stock,Health Care,N/A,N/A,N/A,N/A
ABSI,Absci Corporation - Common Stock,Health Care,,,,
ABTS,Abits Group Inc - Ordinary Shares,Technology,N/A,N/A,N/A,N/A
ABTS,Abits Group Inc - Ordinary Shares,Technology,,,,
ABUS,Arbutus Biopharma Corporation - Common Stock,Health Care,N/A,N/A,N/A,N/A
ABUS,Arbutus Biopharma Corporation - Common Stock,Health Care,,,,
ABVC,"ABVC BioPharma, Inc. - Common Stock",Health Care,N/A,N/A,N/A,N/A
ABVC,"ABVC BioPharma, Inc. - Common Stock",Health Care,,,,
ACAB,Atlantic Coastal Acquisition Corp. II - Class A Common Stock,Finance,N/A,N/A,N/A,N/A
ACAB,Atlantic Coastal Acquisition Corp. II - Class A Common Stock,Finance,,,,
ACABU,Atlantic Coastal Acquisition Corp. II - Unit,Finance,N/A,N/A,N/A,N/A
ACABU,Atlantic Coastal Acquisition Corp. II - Unit,Finance,,,,
ACABW,Atlantic Coastal Acquisition Corp. II - Warrant,Finance,N/A,N/A,N/A,N/A
ACABW,Atlantic Coastal Acquisition Corp. II - Warrant,Finance,,,,
ACAC,Acri Capital Acquisition Corporation - Class A Common Stock,Finance,N/A,N/A,N/A,N/A
ACAC,Acri Capital Acquisition Corporation - Class A Common Stock,Finance,,,,
ACACU,Acri Capital Acquisition Corporation - Unit,Finance,N/A,N/A,N/A,N/A
ACACU,Acri Capital Acquisition Corporation - Unit,Finance,,,,
ACACW,Acri Capital Acquisition Corporation - Warrant,Finance,N/A,N/A,N/A,N/A
ACACW,Acri Capital Acquisition Corporation - Warrant,Finance,,,,
ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,Health Care,N/A,N/A,N/A,N/A
ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,Health Care,,,,
ACAH,Atlantic Coastal Acquisition Corp. - Class A Common Stock,Finance,N/A,N/A,N/A,N/A
ACAH,Atlantic Coastal Acquisition Corp. - Class A Common Stock,Finance,,,,
ACAHU,Atlantic Coastal Acquisition Corp. - Unit,Finance,N/A,N/A,N/A,N/A
ACAHU,Atlantic Coastal Acquisition Corp. - Unit,Finance,,,,
ACAHW,Atlantic Coastal Acquisition Corp. - Warrant,Finance,N/A,N/A,N/A,N/A
ACAHW,Atlantic Coastal Acquisition Corp. - Warrant,Finance,,,,
ACAX,Alset Capital Acquisition Corp. - Class A Common Stock,Health Care,N/A,N/A,N/A,N/A
ACAX,Alset Capital Acquisition Corp. - Class A Common Stock,Health Care,,,,
ACAXR,Alset Capital Acquisition Corp. - Right,Health Care,N/A,N/A,N/A,N/A
ACAXR,Alset Capital Acquisition Corp. - Right,Health Care,,,,
ACAXU,Alset Capital Acquisition Corp. - Unit,Health Care,N/A,N/A,N/A,N/A
ACAXU,Alset Capital Acquisition Corp. - Unit,Health Care,,,,
ACAXW,Alset Capital Acquisition Corp. - Warrant,Health Care,N/A,N/A,N/A,N/A
ACAXW,Alset Capital Acquisition Corp. - Warrant,Health Care,,,,
ACB,Aurora Cannabis Inc. - Common Shares,Health Care,N/A,N/A,N/A,N/A
