Symbol,Type,Amount,Currency,PaymentDate
AACG,Cash,$6.00,USD,08/24/2018
AACG,Cash,$0.41,USD,06/15/2017
AACG,Cash,$0.41,USD,07/18/2014
AAL,Cash,$0.10,USD,02/19/2020
AAL,Cash,$0.10,USD,11/20/2019
AAL,Cash,$0.10,USD,08/21/2019
AAL,Cash,$0.10,USD,05/22/2019
AAL,Cash,$0.10,USD,02/20/2019
AAL,Cash,$0.10,USD,11/20/2018
AAL,Cash,$0.10,USD,08/21/2018
AAL,Cash,$0.10,USD,05/22/2018
AAL,Cash,$0.10,USD,02/20/2018
AAL,Cash,$0.10,USD,11/27/2017
AAL,Cash,$0.10,USD,08/28/2017
AAL,Cash,$0.10,USD,05/30/2017
AAL,Cash,$0.10,USD,02/27/2017
AAL,Cash,$0.10,USD,11/21/2016
AAL,Cash,$0.10,USD,08/19/2016
AAL,Cash,$0.10,USD,05/18/2016
AAL,Cash,$0.10,USD,02/24/2016
AAL,Cash,$0.10,USD,11/19/2015
AAL,Cash,$0.10,USD,08/24/2015
AAL,Cash,$0.10,USD,05/18/2015
AAL,Cash,$0.10,USD,02/23/2015
AAL,Cash,$0.10,USD,11/17/2014
AAL,Cash,$0.10,USD,08/18/2014
AAME,Cash,$0.02,USD,09/12/2023
AAME,Cash,$0.02,USD,04/27/2022
AAME,Cash,$0.02,USD,04/27/2021
AAME,Cash,$0.02,USD,04/24/2019
AAME,Cash,$0.02,USD,04/23/2018
AAME,Cash,$0.02,USD,04/24/2017
AAME,Cash,$0.02,USD,04/22/2016
AAME,Cash,$0.02,USD,04/24/2015
AAME,Cash,$0.02,USD,12/05/2014
AAME,Cash,$0.02,USD,04/25/2014
AAON,Cash,$0.08,USD,12/18/2023
AAON,Cash,$0.08,USD,09/29/2023
AAON,Cash,$0.12,USD,06/30/2023
AAON,Cash,$0.12,USD,03/31/2023
AAON,Cash,$0.24,USD,12/16/2022
AAON,Cash,$0.19,USD,07/01/2022
AAON,Cash,$0.19,USD,12/17/2021
AAON,Cash,$0.19,USD,07/01/2021
AAON,Cash,$0.19,USD,12/18/2020
AAON,Cash,$0.19,USD,07/01/2020
AAON,Cash,$0.16,USD,12/18/2019
AAON,Cash,$0.16,USD,07/01/2019
AAON,Cash,$0.16,USD,12/20/2018
AAON,Cash,$0.16,USD,07/06/2018
AAON,Cash,$0.13,USD,12/21/2017
AAON,Cash,$0.13,USD,07/07/2017
AAON,Cash,$0.13,USD,12/23/2016
AAON,Cash,$0.11,USD,07/01/2016
AAON,Cash,$0.11,USD,12/23/2015
AAON,Cash,$0.11,USD,07/01/2015
AAON,Cash,$0.09,USD,12/23/2014
AAON,Cash,$0.13,USD,07/01/2014
AAON,Cash,$0.10,USD,12/23/2013
AAON,Cash,$0.10,USD,07/02/2013
AAPL,Cash,$0.24,USD,11/16/2023
AAPL,Cash,$0.24,USD,08/17/2023
AAPL,Cash,$0.24,USD,05/18/2023
AAPL,Cash,$0.23,USD,02/16/2023
AAPL,Cash,$0.23,USD,11/10/2022
AAPL,Cash,$0.23,USD,08/11/2022
AAPL,Cash,$0.23,USD,05/12/2022
AAPL,Cash,$0.22,USD,02/10/2022
AAPL,Cash,$0.22,USD,11/11/2021
AAPL,Cash,$0.22,USD,08/12/2021
AAPL,Cash,$0.22,USD,05/13/2021
AAPL,Cash,$0.205,USD,02/11/2021
AAPL,Cash,$0.205,USD,11/12/2020
AAPL,Cash,$0.82,USD,08/13/2020
AAPL,Cash,$0.82,USD,05/14/2020
AAPL,Cash,$0.77,USD,02/13/2020
AAPL,Cash,$0.77,USD,11/14/2019
AAPL,Cash,$0.77,USD,08/15/2019
AAPL,Cash,$0.77,USD,05/16/2019
AAPL,Cash,$0.73,USD,02/14/2019
AAPL,Cash,$0.73,USD,11/15/2018
AAPL,Cash,$0.73,USD,08/16/2018
AAPL,Cash,$0.73,USD,05/17/2018
AAPL,Cash,$0.63,USD,02/15/2018
AAPL,Cash,$0.63,USD,11/16/2017
AAPL,Cash,$0.63,USD,08/17/2017
AAPL,Cash,$0.63,USD,05/18/2017
AAPL,Cash,$0.57,USD,02/16/2017
AAPL,Cash,$0.57,USD,11/10/2016
AAPL,Cash,$0.57,USD,08/11/2016
AAPL,Cash,$0.57,USD,05/12/2016
AAPL,Cash,$0.52,USD,02/11/2016
AAPL,Cash,$0.52,USD,11/12/2015
AAPL,Cash,$0.52,USD,08/13/2015
AAPL,Cash,$0.52,USD,05/14/2015
AAPL,Cash,$0.47,USD,02/12/2015
AAPL,Cash,$0.47,USD,11/13/2014
AAPL,Cash,$0.47,USD,08/14/2014
AAPL,Cash,$3.29,USD,05/15/2014
AAPL,Cash,$3.05,USD,02/13/2014
AAPL,Cash,$3.05,USD,11/14/2013
AAPL,Cash,$3.05,USD,08/15/2013
AAPL,Cash,$2.65,USD,02/14/2013
AAPL,Cash,$0.12,USD,N/A
AAPL,Cash,$0.12,USD,N/A
AAPL,Cash,$0.12,USD,N/A
AAPL,Cash,$0.12,USD,N/A
AAPL,Cash,$0.12,USD,N/A
AAPL,Cash,$0.12,USD,N/A
AAPL,Cash,$0.12,USD,N/A
AAPL,Cash,$0.12,USD,N/A
AAPL,Cash,$0.12,USD,N/A
AAPL,Cash,$0.12,USD,N/A
AAPL,Cash,$0.12,USD,N/A
AAPL,Cash,$0.12,USD,N/A
AAPL,Cash,$0.12,USD,N/A
AAPL,Cash,$0.12,USD,N/A
AAPL,Cash,$0.12,USD,N/A
AAPL,Cash,$0.12,USD,N/A
AAPL,Cash,$0.12,USD,N/A
AAPL,Cash,$0.12,USD,N/A
AAPL,Cash,$0.12,USD,N/A
AAPL,Cash,$0.12,USD,N/A
AAPL,Cash,$0.12,USD,N/A
AAPL,Cash,$0.11,USD,N/A
AAPL,Cash,$0.11,USD,N/A
AAPL,Cash,$0.11,USD,N/A
AAPL,Cash,$0.11,USD,N/A
AAPL,Cash,$0.10,USD,N/A
AAPL,Cash,$0.10,USD,N/A
AAPL,Cash,$0.10,USD,N/A
AAPL,Cash,$0.10,USD,N/A
ABCB,Cash,$0.15,USD,01/08/2024
ABCB,Cash,$0.15,USD,10/09/2023
ABCB,Cash,$0.15,USD,07/10/2023
ABCB,Cash,$0.15,USD,04/10/2023
ABCB,Cash,$0.15,USD,01/09/2023
ABCB,Cash,$0.15,USD,10/10/2022
ABCB,Cash,$0.15,USD,07/08/2022
ABCB,Cash,$0.15,USD,04/08/2022
ABCB,Cash,$0.15,USD,01/10/2022
ABCB,Cash,$0.15,USD,10/08/2021
ABCB,Cash,$0.15,USD,07/09/2021
ABCB,Cash,$0.15,USD,04/09/2021
ABCB,Cash,$0.15,USD,01/11/2021
ABCB,Cash,$0.15,USD,10/09/2020
ABCB,Cash,$0.15,USD,07/10/2020
ABCB,Cash,$0.15,USD,04/10/2020
ABCB,Cash,$0.15,USD,01/10/2020
ABCB,Cash,$0.15,USD,10/10/2019
ABCB,Cash,$0.10,USD,07/10/2019
ABCB,Cash,$0.10,USD,04/10/2019
ABCB,Cash,$0.10,USD,01/10/2019
ABCB,Cash,$0.10,USD,10/10/2018
ABCB,Cash,$0.10,USD,07/10/2018
ABCB,Cash,$0.10,USD,04/10/2018
ABCB,Cash,$0.10,USD,01/10/2018
ABCB,Cash,$0.10,USD,10/10/2017
ABCB,Cash,$0.10,USD,07/10/2017
ABCB,Cash,$0.10,USD,04/10/2017
ABCB,Cash,$0.10,USD,01/10/2017
ABCB,Cash,$0.10,USD,10/11/2016
