Symbol,Company Name,Sector
AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",Real Estate
AACI,Armada Acquisition Corp. I - Common Stock,Finance
AACIU,Armada Acquisition Corp. I - Unit,Finance
AACIW,Armada Acquisition Corp. I - Warrant,Finance
AADI,"Aadi Bioscience, Inc. - Common Stock",Health Care
AADR,AdvisorShares Dorsey Wright ADR ETF,
AAGR,African Agriculture Holdings Inc. - Common Stock,Finance
AAGRW,African Agriculture Holdings Inc. - Warrant,Finance
AAL,"American Airlines Group, Inc. - Common Stock",Consumer Discretionary
AAME,Atlantic American Corporation - Common Stock,Finance
AAOI,"Applied Optoelectronics, Inc. - Common Stock",Technology
AAON,"AAON, Inc. - Common Stock",Industrials
AAPB,GraniteShares 1.75x Long AAPL Daily ETF,
AAPD,Direxion Daily AAPL Bear 1X Shares,
AAPL,Apple Inc. - Common Stock,Technology
AAPU,Direxion Daily AAPL Bull 1.5X Shares,
AAXJ,iShares MSCI All Country Asia ex Japan ETF,
ABAT,American Battery Technology Company - Common Stock,Basic Materials
ABCB,Ameris Bancorp - Common Stock,Finance
ABCL,AbCellera Biologics Inc. - Common Shares,Health Care
ABEO,Abeona Therapeutics Inc. - Common Stock,Health Care
ABIO,"ARCA biopharma, Inc. - Common Stock",Health Care
ABL,"Abacus Life, Inc. - Class A Common Stock",Finance
ABLLL,"Abacus Life, Inc. - 9.875% Fixed Rate Senior Notes due 2028",
ABLLW,"Abacus Life, Inc. - Warrant",Finance
ABLV,Able View Global Inc. - Class B Ordinary Shares,
ABLVW,Able View Global Inc. - Warrant,
ABNB,"Airbnb, Inc. - Class A Common Stock",Consumer Discretionary
ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",Health Care
ABSI,Absci Corporation - Common Stock,Health Care
ABTS,Abits Group Inc - Ordinary Shares,Technology
ABUS,Arbutus Biopharma Corporation - Common Stock,Health Care
ABVC,"ABVC BioPharma, Inc. - Common Stock",Health Care
ABVX,Abivax SA - American Depositary Shares,
ACAB,Atlantic Coastal Acquisition Corp. II - Class A Common Stock,Finance
ACABU,Atlantic Coastal Acquisition Corp. II - Unit,Finance
ACABW,Atlantic Coastal Acquisition Corp. II - Warrant,Finance
ACAC,Acri Capital Acquisition Corporation - Class A Common Stock,Finance
ACACU,Acri Capital Acquisition Corporation - Unit,Finance
ACACW,Acri Capital Acquisition Corporation - Warrant,Finance
ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,Health Care
ACAH,Atlantic Coastal Acquisition Corp. - Class A Common Stock,Finance
ACAHU,Atlantic Coastal Acquisition Corp. - Unit,Finance
ACAHW,Atlantic Coastal Acquisition Corp. - Warrant,Finance
ACAX,Alset Capital Acquisition Corp. - Class A Common Stock,Health Care
ACAXR,Alset Capital Acquisition Corp. - Right,Health Care
ACAXU,Alset Capital Acquisition Corp. - Unit,Health Care
ACAXW,Alset Capital Acquisition Corp. - Warrant,Health Care
ACB,Aurora Cannabis Inc. - Common Shares,Health Care
ACBA,Ace Global Business Acquisition Limited - Ordinary Shares,Consumer Discretionary
ACBAU,Ace Global Business Acquisition Limited - Unit,Consumer Discretionary
ACBAW,Ace Global Business Acquisition Limited - Warrant,Consumer Discretionary
ACCD,"Accolade, Inc. - common stock",Consumer Discretionary
ACDC,ProFrac Holding Corp. - Class A Common Stock,Energy
ACET,"Adicet Bio, Inc. - Common Stock",Health Care
ACGL,Arch Capital Group Ltd. - Common Stock,Finance
ACGLN,"Arch Capital Group Ltd. - Depositary Shares, each Representing a 1/1,000th Interest in a 4.550% Non-Cumulative Preferred Share, Series G",Finance
ACGLO,"Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F",Finance
ACHC,"Acadia Healthcare Company, Inc. - Common Stock",Health Care
ACHL,Achilles Therapeutics plc - American Depositary Shares,Health Care
ACHV,"Achieve Life Sciences, Inc.  - Common Shares",Health Care
ACIC,American Coastal Insurance Corporation - Common Stock,Finance
ACIU,AC Immune SA - Common Stock,Health Care
ACIW,"ACI Worldwide, Inc. - Common Stock",Technology
ACLS,"Axcelis Technologies, Inc. - Common Stock",Technology
ACLX,"Arcellx, Inc. - Common Stock",Health Care
ACMR,"ACM Research, Inc. - Class A Common Stock",Technology
ACNB,ACNB Corporation - Common Stock,Finance
ACNT,Ascent Industries Co. - Common Stock,Industrials
ACON,"Aclarion, Inc. - Common Stock",Technology
ACONW,"Aclarion, Inc. - Warrant",Technology
ACOR,"Acorda Therapeutics, Inc. - Common Stock",Health Care
ACRS,"Aclaris Therapeutics, Inc. - Common Stock",Health Care
ACRV,"Acrivon Therapeutics, Inc. - Common Stock",Health Care
ACRX,"AcelRx Pharmaceuticals, Inc. - Common Stock",Health Care
ACST,"Acasti Pharma, Inc.  - Class A Common Stock",Health Care
ACT,"Enact Holdings, Inc. - Common Stock",Finance
ACTG,Acacia Research Corporation - Common Stock,Miscellaneous
ACVA,ACV Auctions Inc. - Class A Common Stock,Consumer Discretionary
ACWI,iShares MSCI ACWI ETF,
ACWX,iShares MSCI ACWI ex U.S. ETF,
ACXP,"Acurx Pharmaceuticals, Inc. - Common Stock",Health Care
ADAG,"Adagene Inc. - ADS, each representing 1.25 ordinary shares",Health Care
ADAP,Adaptimmune Therapeutics plc - American Depositary Shares,Health Care
ADBE,Adobe Inc. - Common Stock,Technology
ADD,"Color Star Technology Co., Ltd. - Class A Ordinary Shares",Consumer Discretionary
ADEA,Adeia Inc.  - Common Stock,Technology
ADES,"Advanced Emissions Solutions, Inc. - Common Stock",Industrials
ADI,"Analog Devices, Inc. - Common Stock",Technology
ADIL,"Adial Pharmaceuticals, Inc - Common Stock",Health Care
ADMA,ADMA Biologics Inc - Common Stock,Health Care
ADN,"Advent Technologies Holdings, Inc. - Class A Common Stock",Utilities
ADNWW,"Advent Technologies Holdings, Inc. - Warrant",Miscellaneous
ADOC,Edoc Acquisition Corp. - Class A Ordinary Share,Health Care
ADOCR,Edoc Acquisition Corp. - Right,Health Care
ADOCW,Edoc Acquisition Corp. - Warrant,Health Care
ADP,"Automatic Data Processing, Inc. - Common Stock",Technology
ADPT,Adaptive Biotechnologies Corporation - Common Stock,Health Care
ADSE,ADS-TEC ENERGY PLC - Ordinary Shares,Consumer Discretionary
ADSEW,ADS-TEC ENERGY PLC - Warrant,Consumer Discretionary
ADSK,"Autodesk, Inc. - Common Stock",Technology
ADTH,"AdTheorent Holding Company, Inc. - Common Stock",Consumer Discretionary
ADTHW,"AdTheorent Holding Company, Inc. - Warrants",Consumer Discretionary
ADTN,"ADTRAN Holdings, Inc. - Common Stock",Telecommunications
ADTX,"Aditxt, Inc. - Common Stock",Health Care
ADUS,Addus HomeCare Corporation - Common Stock,Health Care
ADV,Advantage Solutions Inc.  - Class A Common Stock,Consumer Discretionary
ADVM,"Adverum Biotechnologies, Inc. - Common Stock",Health Care
ADVWW,Advantage Solutions Inc.  - Warrant,Consumer Discretionary
ADXN,Addex Therapeutics Ltd - American Depositary Shares,Health Care
AEAE,AltEnergy Acquisition Corp. - Class A Common Stock,Finance
AEAEU,AltEnergy Acquisition Corp. - Unit,Finance
AEAEW,AltEnergy Acquisition Corp. - Warrant,Finance
AEHL,Antelope Enterprise Holdings Limited - Class A Ordinary Shares,Consumer Discretionary
AEHR,Aehr Test Systems - Common Stock,Industrials
AEI,Alset Inc. - Common Stock,Real Estate
AEIS,"Advanced Energy Industries, Inc. - Common Stock",Technology
AEMD,"Aethlon Medical, Inc. - Common Stock",Miscellaneous
AENT,Alliance Entertainment Holding Corporation - common stock,Consumer Discretionary
AENTW,Alliance Entertainment Holding Corporation - Warrants,Consumer Discretionary
AEP,"American Electric Power Company, Inc. - Common Stock",Utilities
AERT,"Aeries Technology, Inc. - Class A Ordinary Share",Basic Materials
AERTW,"Aeries Technology, Inc. - Warrant",Finance
AEY,"ADDvantage Technologies Group, Inc. - Common Stock",Industrials
AEYE,"AudioEye, Inc. - Common Stock",Technology
AEZS,Aeterna Zentaris Inc. - Common Stock,Health Care
AFAR,Aura FAT Projects Acquisition Corp - Class A Ordinary Shares,Finance
AFARU,Aura FAT Projects Acquisition Corp - Unit,Finance
AFARW,Aura FAT Projects Acquisition Corp - Warrant,Finance
AFBI,"Affinity Bancshares, Inc. - Common Stock",Finance
AFCG,"AFC Gamma, Inc. - Common Stock",Real Estate
AFIB,"Acutus Medical, Inc. - Common Stock",Health Care
AFJKU,"Aimei Health Technology Co., Ltd - Unit",
AFMD,Affimed N.V. - Common Stock,Health Care
AFRI,Forafric Global PLC - Ordinary Shares,
AFRIW,Forafric Global PLC - Warrants,
AFRM,"Affirm Holdings, Inc. - Class A Common Stock",Consumer Discretionary
AFYA,Afya Limited - Class A Common Shares,Real Estate
AGAE,Allied Gaming & Entertainment Inc. - Common Stock,Telecommunications
AGBA,AGBA Group Holding Limited - Ordinary Share,Finance
AGBAW,AGBA Group Holding Limited - Warrant,Finance
AGEN,Agenus Inc. - Common Stock,Health Care
AGFY,Agrify Corporation - Common Stock,Consumer Discretionary
AGIO,"Agios Pharmaceuticals, Inc. - Common Stock",Health Care
AGMH,AGM Group Holdings Inc. - Class A Ordinary Shares,Technology
AGNC,AGNC Investment Corp. - Common Stock,Real Estate
AGNCL,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock",Real Estate
AGNCM,AGNC Investment Corp. - Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,Real Estate
AGNCN,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock",Real Estate
AGNCO,"AGNC Investment Corp. - Depositary Shares, each representing a 1/1,000th interest in a share of Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock",Real Estate
AGNCP,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",Real Estate
AGNG,Global X Aging Population ETF,
AGRI,AgriFORCE  Growing Systems Ltd. - Common Shares,
AGRIW,AgriFORCE  Growing Systems Ltd. - Warrant,Industrials
AGRX,"Agile Therapeutics, Inc. - Common Stock",Health Care
AGYS,"Agilysys, Inc. - Common Stock",Technology
AGZD,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,
AHCO,AdaptHealth Corp.  - Common Stock,Health Care
AHG,Akso Health Group - American Depositary Shares,Consumer Discretionary
AHI,Advanced Health Intelligence Ltd. - American Depositary Shares,Consumer Discretionary
AIA,iShares Asia 50 ETF,
AIB,AIB Acquisition Corporation - Class A Ordinary Shares,Finance
AIBBR,AIB Acquisition Corporation - Right,Finance
AIBBU,AIB Acquisition Corporation - Unit,Finance
AIH,Aesthetic Medical International Holdings Group Ltd. - American Depositary Shares,Health Care
AIHS,Senmiao Technology Limited - Common Stock,Finance
AIMAU,Aimfinity Investment Corp. I - Unit,Finance
AIMAW,Aimfinity Investment Corp. I - Warrant,Finance
AIMBU,Aimfinity Investment Corp. I - Subunit,Finance
AIMD,"Ainos, Inc. - Common Stock",Health Care
AIMDW,"Ainos, Inc. - warrants",Health Care
AIP,"Arteris, Inc.  - Common Stock",Technology
AIQ,Global X Artificial Intelligence & Technology ETF,
AIRE,reAlpha Tech Corp. - Common Stock,
